ALMACEN,SKU,CONTROL_DIST,CANT_CONTROL
12063,221748,29781,50
12063,506974,29781,1
12063,508242,29781,1
12063,508250,29781,1
12063,508252,29781,1
12063,508256,29781,1
12088,5669,29781,1
12088,221748,29781,50
12089,221748,29781,50
12089,508242,29781,1
12089,508250,29781,1
12089,508252,29781,1
12089,508256,29781,1
12093,506974,29781,1
12093,508990,29781,4
12094,221449,29781,50
12094,221748,29781,50
12097,221449,29781,50
12097,221748,29781,50
12097,551350,29781,2
12101,221748,29781,50
12101,502047,29781,1
12101,551350,29781,1
12101,551529,29781,1
12102,508990,29781,4
12103,221449,29781,50
12103,221748,29781,50
12103,501860,29781,1
12103,502042,29781,1
12103,502044,29781,1
12103,508990,29781,4
12103,551299,29781,1
12103,551375,29781,1
12111,221748,29781,50
12111,506974,29781,3
12113,221748,29781,50
12113,502044,29781,1
12113,502047,29781,1
12113,507556,29781,1
12113,508242,29781,1
12113,508250,29781,1
12113,551530,29781,1
12113,551535,29781,1
12115,220568,29781,3
12115,221748,29781,50
12115,508242,29781,1
12115,508250,29781,1
12116,220568,29781,4
12116,221449,29781,50
12116,221748,29781,50
12116,508252,29781,1
12116,508256,29781,1
12116,551307,29781,1
12117,221449,29781,50
12117,508242,29781,1
12117,508990,29781,4
12118,221449,29781,50
12118,508990,29781,4
12120,221449,29781,50
12120,221748,29781,50
12120,507557,29781,1
12125,221449,29781,50
12125,508990,29781,4
12127,221449,29781,50
12127,551375,29781,1
12138,502044,29781,1
12138,502047,29781,1
12138,506974,29781,1
12140,221449,29781,50
12140,551350,29781,2
12154,221449,29781,50
12154,221748,29781,50
12154,508250,29781,1
12154,508252,29781,1
12154,508256,29781,1
12171,221748,29781,50
12171,506974,29781,2
12171,507576,29781,3
12178,221449,29781,50
12178,221748,29781,50
12178,508242,29781,1
12183,507576,29781,1
12183,508252,29781,1
12183,508256,29781,1
12183,508753,29781,1
12186,221449,29781,50
12186,221748,29781,50
12186,507565,29781,1
12186,507566,29781,1
12186,507567,29781,1
12186,507568,29781,1
12186,508256,29781,1
12189,221748,29781,50
12189,508990,29781,4
12191,220568,29781,1
12191,507557,29781,1
12191,508250,29781,1
12191,508753,29781,1
12192,221449,29781,50
12195,507576,29781,2
12195,508753,29781,1
12199,220568,29781,1
12199,506974,29781,1
12199,507576,29781,1
12208,506974,29781,1
12208,508250,29781,1
12221,508252,29781,1
12221,508256,29781,1
12221,508990,29781,4
12224,221449,29781,50
12224,507558,29781,1
12224,507560,29781,1
12224,507561,29781,1
12224,507562,29781,1
12224,508244,29781,1
12224,508248,29781,1
12224,508252,29781,1
12224,508256,29781,1
12224,508990,29781,4
12225,5669,29781,1
12225,298977,29781,1
12225,501860,29781,1
12225,507556,29781,1
12225,507558,29781,1
12225,507561,29781,1
12225,507576,29781,2
12227,506974,29781,1
12228,220568,29781,9
12228,506974,29781,8
12228,507558,29781,1
12228,507576,29781,2
12232,507576,29781,1
12232,508242,29781,1
12232,508250,29781,1
12241,507557,29781,1
12241,507576,29781,2
12241,508990,29781,4
12242,221748,29781,50
12243,220568,29781,4
12243,221449,29781,50
12243,221748,29781,50
12243,506974,29781,1
12243,507558,29781,1
12243,507576,29781,2
