SKU,LINEA,GENERICO,DESCRIPCION,STOCK
508748,AJG,E,TRENZADO,400
508749,AJG,E,TRENZADO,146
508752,AJG,E,CORDON,74
508753,AJG,E,TRENZADO TIPO PIEL,335
508754,AJG,E,TRENZADO TIPO PIEL,152
508755,AJG,E,KPKMEX,246
508756,AJG,E,KPKMEX,387
508757,AJG,E,KPKMEX,111
549219,AJG,E,AIJ012,315
220568,ALC,E,OPTI FREE PUREMOIST 300,80
5405,AOT,E,MICROFIBRAS LUX CORTESIA,25
15760,BAU,E,GOTAS LUBRICANTES Y REHUMECTANTES,708
17445,BAU,E,BIOTRUE,24
17753,BAU,E,GOTAS ARTELAC REBALANCE 10 ML,10
508945,BAU,E,RENU FRESH,21
546765,BAU,E,KIT 3 PACK BIOTRUE,3
551366,BAU,E,RENU FRESH 355ML,8
551268,BLO,E,LENTE BLUE LIGHT,3
551269,BLO,E,LENTE BLUE LIGHT,10
551436,BLO,E,BLUE LIGHT,163
551437,BLO,E,BLUE LIGHT,127
551440,BLO,E,BLUE LIGHT,8
5635,CAD,E,SUJETADOR DE RESORTE,26
503672,CAD,E,SUJETADOR DE RESORTE,48
504852,CHU,E,CHU12106100,1
504854,CHU,E,CHU12424361,2
504855,CHU,E,CHU12112101,2
504856,CHU,E,CHU12115100,3
504858,CHU,E,CHU30054100,4
504859,CHU,E,CHU12129887,1
504860,CHU,E,CHU12128349,1
504861,CHU,E,CHU12406100,1
504862,CHU,E,CHU12311100,1
504863,CHU,E,CHU31094100,12
504864,CHU,E,CHU54252,1
504865,CHU,E,CHU31090100,1
504866,CHU,E,CHU30080,1
504925,CHU,E,CHU12106101,1
504927,CHU,E,CHU12424362,1
504928,CHU,E,CHU12424363,2
504929,CHU,E,CHU12424365,1
504930,CHU,E,CHU12112102,1
504931,CHU,E,CHU12115101,1
504932,CHU,E,CHU12115114,1
504933,CHU,E,CHU12115501,2
504934,CHU,E,CHU12128100,1
504935,CHU,E,CHU12129888,1
504936,CHU,E,CHU12129460,1
504938,CHU,E,CHU12406155,1
504939,CHU,E,CHU12406749,1
504940,CHU,E,CHU12311341,1
504941,CHU,E,CHU12311871,1
504942,CHU,E,CHU31094223,1
508989,CHU,E,SHADE SHELL BALCK/BRINGHT PINK,8
551291,CLI,E,DIRECT-CASE,500
504746,CLM,E,"KIT DE LIMPIEZA CON SOLUCION, MICROFIBRA Y TOALLITAS HUMEDAS",1167
507575,CLM,E,KIT DE LIMPIEZA PREMIUM,1726
507576,CLM,E,TOALLITAS HUMEDAS,133
507577,CLM,E,MICROFIBRA,660
507578,CLM,E,ESTUCHES,24
507582,CLM,E,LENTES DE VISTA CANSADA,57
508241,CLM,E,LENTES PRE GRADUADOS AZUL,13
508243,CLM,E,LENTES PRE GRADUADOS AZUL,1
508244,CLM,E,LENTES PRE GRADUADOS AZUL,6
508249,CLM,E,LENTES PRE GRADUADOS NEGRO,14
508250,CLM,E,LENTES PRE GRADUADOS NEGRO,86
508251,CLM,E,LENTES PRE GRADUADOS NEGRO,51
508254,CLM,E,LENTES PRE GRADUADOS ROJO,23
549033,CLM,E,LENTE BLUE LIGHT,6
551294,CLM,E,BLUE LIGHT,1510
551295,CLM,E,BLUE LIGHT,906
551296,CLM,E,BLUE LIGHT,877
551299,CLM,E,PREGRADUADO 2.5,2
551301,CLM,E,PREGRADUADO 1.5,1
551304,CLM,E,PREGRADUADO 3.0,1
551307,CLM,E,PREGRADUADO 2.5,2
551308,CLM,E,PREGRADUADO 3.0,1
551375,CLM,E,LENTES PROTECTORES,68
551532,CLM,E,LENTES BLUE LIGHT,1
551533,CLM,E,LENTES BLUE LIGHT,1
16028,EST,E,FORTIUS GRANDE CORTESIA,140
221448,EST,E,ESTUCHE R- 85 GRANDE MAS VISION,60000
507586,EST,E,ESTUCHE MAS VISION GRANDE PARA VENTA,30334
549212,FSL,E,GEL ANTIBACTERIAL  INDIVIDUAL,3000
551266,FSL,E,GEL-001-3,371
551330,FSL,E,CUBRE-30000-4,25
551349,FSL,E,LENTE VENUS CON ANTIEMPANANTE,2
551384,FSL,E,LENTES DE SEGURIDAD,6
508295,GVS,E,ESTUCHE GENERICO,300
186326,HIL,E,VENTURE WITH SPORTS CLIP,87
507552,HIL,E,KIDS PALS COLLECTION TEDDY BEAR HOLDER,354
507553,HIL,E,KIDS PALS COLLECTION CAT HOLDER,342
507554,HIL,E,KIDS PALS COLLECTION MOUSE HOLDER,342
507557,HIL,E,LEADER SPORTS LINE COLLECTION FLECK BROWN,29
507558,HIL,E,LEADER SPORTS LINE COLLECTION BLACK,3
507559,HIL,E,LEADER SPORTS LINE COLLECTION FLECK BLACK,5
