SKU,LINEA,GENERICO,DESCRIPCION,STOCK
1,ABC,E,CHU12311341,1
2,DFG,E,CHU12311871,1
3,HIJ,E,CHU31094223,1
4,KLM,E,SHADE SHELL BALCK/BRINGHT PINK,1
5,AJG,E,DIRECT-CASE,1
6,AJG,E,"KIT DE LIMPIEZA CON SOLUCION, MICROFIBRA Y TOALLITAS HUMEDAS",1
7,AJG,E,KIT DE LIMPIEZA PREMIUM,1
8,AJG,E,TOALLITAS HUMEDAS,1
9,AJG,E,MICROFIBRA,1
10,AJG,E,ESTUCHES,1
11,AJG,E,LENTES DE VISTA CANSADA,1
12,AJG,E,LENTES PRE GRADUADOS AZUL,1
13,AJG,E,LENTES PRE GRADUADOS AZUL,1
14,AJG,E,LENTES PRE GRADUADOS AZUL,1
15,AJG,E,LENTES PRE GRADUADOS NEGRO,1
16,AJG,E,LENTES PRE GRADUADOS NEGRO,1
