LINEA,SKU,MODELO,COLOR,DESCRIPCION,GENERICO,TIPO,SUBTIPO,PACK,CANTIDAD,PRECIO
AJG,508748,AIJ002,AMARILLO,TRENZADO,E,C,,,400,0
AJG,508749,AIJ003,ROSA,TRENZADO,E,C,CAD,CAD-M,146,0
AJG,508752,AIJ006,AMARILLO,CORDON,E,C,CAD,CAD-M,74,0
AJG,508753,AIJ007,NARANJA,TRENZADO TIPO PIEL,E,C,CAD,CAD-M,335,0
AJG,508754,AIJ008,VERDE,TRENZADO TIPO PIEL,E,C,CAD,CAD-M,152,0
AJG,508755,AIJ009,VERDE,KPKMEX,E,C,CAD,CAD-H,246,0
AJG,508756,AIJ010,ROSA,KPKMEX,E,C,CAD,CAD-M,387,0
AJG,508757,AIJ011,NARANJA,KPKMEX,E,C,CAD,CAD-H,111,0
AJG,549219,AIJ012,ROSA,AIJ012,E,C,CAD,CAD-M,315,0
ALC,220568,PUREMOIST 300,,OPTI FREE PUREMOIST 300,E,S,SOL,SOL,80,0
AOT,5405,T5121,,MICROFIBRAS LUX CORTESIA,E,A,FAC_RM,,25,0
BAU,15760,SBGR8,,GOTAS LUBRICANTES Y REHUMECTANTES,E,S,SOL,SOL,708,0
BAU,17445,SBT300,,BIOTRUE,E,S,SOL,SOL,24,0
BAU,17753,GAR10,,GOTAS ARTELAC REBALANCE 10 ML,E,S,FAC_RV,,10,0
BAU,508945,SBMRNR2,,RENU FRESH,E,S,,,21,0
BAU,546765,KIT 3 PACK BIOT,,KIT 3 PACK BIOTRUE,E,S,SOL,SOL,3,0
BAU,551366,RENUFRESH355,,RENU FRESH 355ML,E,S,,,8,0
BLO,551268,190720LB,8062020,LENTE BLUE LIGHT,E,P,BL,BLH,3,0
BLO,551269,200720LB,8062020,LENTE BLUE LIGHT,E,P,BL,BLM,10,0
BLO,551436,BLUELIGHT,,BLUE LIGHT,E,P,BL,BLH,163,0
BLO,551437,BLUELIGHT,,BLUE LIGHT,E,P,BL,BLM,127,0
BLO,551440,BLUELIGHT,,BLUE LIGHT,E,P,BL,BLI,8,0
CAD,5635,UH0015B,NEGRO,SUJETADOR DE RESORTE,E,C,CAD,CAD-H,26,0
CAD,503672,SUJETADOR LUX,BLACK,SUJETADOR DE RESORTE,E,C,CAD,CAD-H,48,0
CHU,504852,CHU12106100,,CHU12106100,E,C,CAD,CAD-U,1,0
CHU,504854,CHU12424361,,CHU12424361,E,C,,,2,0
CHU,504855,CHU12112101,,CHU12112101,E,C,,,2,0
CHU,504856,CHU12115100,,CHU12115100,E,C,CAD,CAD-U,3,0
CHU,504858,CHU30054100,,CHU30054100,E,A,CAD,CAD-U,4,0
CHU,504859,CHU12129887,,CHU12129887,E,C,,,1,0
CHU,504860,CHU12128349,,CHU12128349,E,C,CAD,CAD-U,1,0
CHU,504861,CHU12406100,,CHU12406100,E,C,,,1,0
CHU,504862,CHU12311100,,CHU12311100,E,C,,,1,0
CHU,504863,CHU31094100,,CHU31094100,E,E,EST,EST,12,0
CHU,504864,CHU54252,,CHU54252,E,E,,,1,0
CHU,504865,CHU31090100,,CHU31090100,E,E,,,1,0
CHU,504866,CHU30080,,CHU30080,E,L,,,1,0
CHU,504925,CHU12106101,,CHU12106101,E,C,,,1,0
CHU,504927,CHU12424362,,CHU12424362,E,C,,,1,0
CHU,504928,CHU12424363,,CHU12424363,E,C,CAD,CAD-U,2,0
CHU,504929,CHU12424365,,CHU12424365,E,C,,,1,0
CHU,504930,CHU12112102,,CHU12112102,E,C,,,1,0
CHU,504931,CHU12115101,,CHU12115101,E,C,,,1,0
CHU,504932,CHU12115114,,CHU12115114,E,C,,,1,0
