BIN,UBICACION,PASILLO,RACK,COLUMNA,NIVEL,SKU,CANTIDAD
U9493,A.01.01.02,A,1,1,2,508241,0
U9494,A.01.01.03,A,1,1,3,508242,9
U9495,A.01.01.04,A,1,1,4,508243,0
U9496,A.01.01.05,A,1,1,5,508244,0
U9497,A.01.01.06,A,1,1,6,508245,10
U9498,A.01.01.07,A,1,1,7,508246,1
U9499,A.01.01.08,A,1,1,8,508247,3
U9501,A.01.02.02,A,1,2,2,508248,3
U9502,A.01.02.03,A,1,2,3,508249,0
U9503,A.01.02.04,A,1,2,4,508250,0
U9504,A.01.02.05,A,1,2,5,508251,0
U9505,A.01.02.06,A,1,2,6,508252,26
U9506,A.01.02.07,A,1,2,7,508253,31
U9507,A.01.02.08,A,1,2,8,508254,0
U9509,A.01.03.02,A,1,3,2,508255,0
U9510,A.01.03.03,A,1,3,3,508256,27
U9511,A.01.03.04,A,1,3,4,551297,8
U9512,A.01.03.05,A,1,3,5,551298,1
U9513,A.01.03.06,A,1,3,6,551299,0
U9514,A.01.03.07,A,1,3,7,551300,0
U9515,A.01.03.08,A,1,3,8,551301,0
U9517,A.01.04.02,A,1,4,2,551302,0
U9518,A.01.04.03,A,1,4,3,551303,0
U9519,A.01.04.04,A,1,4,4,551304,0
U9520,A.01.04.05,A,1,4,5,551305,0
U9521,A.01.04.06,A,1,4,6,551306,0
U9522,A.01.04.07,A,1,4,7,551307,0
U9523,A.01.04.08,A,1,4,8,551308,0
U9525,A.02.01.02,A,2,1,2,551384,0
U9526,A.02.01.03,A,2,1,3,551349,0
U9527,A.02.01.04,A,2,1,4,551375,15
U20871,A.02.01.05,A,2,1,5,551436,9
U20872,A.02.01.06,A,2,1,6,551437,42
U20873,A.02.01.07,A,2,1,7,551438,17
U20874,A.02.01.08,A,2,1,8,551439,13
U9529,A.02.02.02,A,2,2,2,551440,4
U9530,A.02.02.03,A,2,2,3,551528,0
U9531,A.02.02.04,A,2,2,4,551529,0
U20875,A.02.02.05,A,2,2,5,551530,0
U20876,A.02.02.06,A,2,2,6,551531,0
U20877,A.02.02.07,A,2,2,7,551332,0
U20878,A.02.02.08,A,2,2,8,551333,0
U9533,A.02.03.02,A,2,3,2,551534,3
U9534,A.02.03.03,A,2,3,3,551535,0
U9535,A.02.03.04,A,2,3,4,15760,125
U20879,A.02.03.05,A,2,3,5,17445,0
U20880,A.02.03.06,A,2,3,6,17445,0
U20881,A.02.03.07,A,2,3,7,17445,5
U20882,A.02.03.08,A,2,3,8,17755,11
U9537,A.02.04.02,A,2,4,2,17755,27
U9538,A.02.04.03,A,2,4,3,17755,27
U9539,A.02.04.04,A,2,4,4,215072,21
U20883,A.02.04.05,A,2,4,5,220568,0
U20884,A.02.04.06,A,2,4,6,220568,0
U20885,A.02.04.07,A,2,4,7,220568,0
U20886,A.02.04.08,A,2,4,8,506974,16
U9541,A.03.01.02,A,3,1,2,506974,21
U9542,A.03.01.03,A,3,1,3,506974,7
U9543,A.03.01.04,A,3,1,4,508945,21
U9544,A.03.01.05,A,3,1,5,508990,17
